Step,Accuracy_Train,TRP_Train,FPR_Train,Cost_train,Accuracy_Val,TRP_Val,FPR_Val,Cost_Val
0,50.000001303851604,100.0,0.0,1.1087665660203974,50.0,100.0,0.0,1.1087657122359977
32,50.000001303851604,100.0,0.0,0.9746543546169101,50.0,100.0,0.0,0.9882532360182199
64,50.000001303851604,100.0,0.0,0.956154798123996,50.0,100.0,0.0,0.9837422744544466
96,53.951824340038,100.0,7.903645833333334,0.9401936699025335,50.0,100.0,0.0,0.9790061340358706
128,68.17057471489534,100.0,36.341145833333336,0.9239505371786172,53.125,93.75,12.5,0.9752436512905321
160,77.7473978814669,100.0,55.49479166666667,0.9074316060254094,62.5,93.75,31.25,0.9687489525085784
192,83.89323137234896,99.19270833333333,68.59375,0.8905648795940816,68.75,93.75,43.75,0.9538709485176311
224,88.50911689223722,99.59635416666666,77.421875,0.8737513345043975,78.125,93.75,62.5,0.929324595937833
256,91.52995030162856,99.58333333333334,83.4765625,0.8569250998503849,84.375,93.75,75.0,0.9147365863269314
288,93.21614824002609,99.375,87.05729166666666,0.8402085232017285,87.5,93.75,81.25,0.9047697525179907
320,94.42708577262238,99.375,89.47916666666666,0.8238007498990938,90.625,93.75,87.5,0.8920257760985286
352,95.26692957151681,99.8046875,90.72916666666667,0.8076075657417026,90.625,93.75,87.5,0.8842510580236446
384,95.26692957151681,99.8046875,90.72916666666667,0.7916881633274516,90.625,93.75,87.5,0.8783291066010929
416,94.96093997731805,99.19270833333333,90.72916666666667,0.7761440248828644,90.625,93.75,87.5,0.8693954466613332
448,94.66797122731805,98.41145833333333,90.92447916666666,0.7610957371224165,90.625,93.75,87.5,0.8622378710171007
480,94.66797122731805,98.41145833333333,90.92447916666667,0.746253870558137,90.625,93.75,87.5,0.8530867435889941
512,94.45963788311929,97.79947916666666,91.11979166666666,0.7318797536910446,90.625,93.75,87.5,0.8517006999611726
544,94.76562747731805,98.0078125,91.5234375,0.717854169227414,90.625,93.75,87.5,0.8445357926794053
576,94.75911705521867,97.60416666666666,91.9140625,0.704166846760235,87.5,93.75,81.25,0.849290836799375
608,94.75260663311929,97.1875,92.31770833333334,0.6908289997243852,84.375,87.5,81.25,0.856516151860143
640,94.75260663311929,97.1875,92.31770833333333,0.6778869727830005,84.375,87.5,81.25,0.8489620948378077
672,94.96093997731805,97.1875,92.734375,0.6652883385398278,84.375,87.5,81.25,0.8425030595239287
704,95.06510664941743,96.97916666666666,93.15104166666666,0.6530945915645023,84.375,87.5,81.25,0.8379974671428634
736,95.16927332151681,96.97916666666666,93.35937499999999,0.6412082921590925,84.375,87.5,81.25,0.8328068964770631
768,95.26692957151681,96.97916666666666,93.5546875,0.6297269575665889,81.25,81.25,81.25,0.8271064566042978
800,95.36458582151681,96.97916666666666,93.75,0.6185128326843261,84.375,87.5,81.25,0.8227516269445052
832,95.36458582151681,96.97916666666666,93.75,0.6076064886449966,81.25,81.25,81.25,0.8249912571832305
864,95.26692957151681,96.97916666666666,93.5546875,0.5970243687302654,81.25,81.25,81.25,0.8212471615775674
896,95.36458582151681,96.97916666666666,93.75,0.5867097868701365,81.25,81.25,81.25,0.8187135871003274
928,95.36458582151681,96.97916666666666,93.75,0.5767185010983471,81.25,81.25,81.25,0.8104618389456697
960,95.76823166571558,97.36979166666666,94.16666666666666,0.5669785672589269,78.125,81.25,75.0,0.8185991292988433
992,95.76823166571558,97.36979166666666,94.16666666666666,0.5574113566407709,78.125,81.25,75.0,0.8137786351914669
1024,95.76823166571558,97.36979166666666,94.16666666666666,0.5481521124754212,78.125,81.25,75.0,0.8101358135130107
1056,95.76823166571558,97.36979166666666,94.16666666666666,0.5391171956300372,78.125,81.25,75.0,0.8074424743395503
1088,95.96354416571558,97.56510416666666,94.36197916666666,0.5303491122878181,78.125,81.25,75.0,0.8038067717727604
1120,95.96354416571558,97.56510416666666,94.36197916666666,0.5217630404127704,78.125,81.25,75.0,0.7998339898714826
1152,95.96354416571558,97.56510416666666,94.36197916666666,0.5134105944800843,78.125,81.25,75.0,0.7973929960949235
1184,96.16536708781496,97.7734375,94.55729166666666,0.5053450472342641,78.125,81.25,75.0,0.7930752943700994
1216,96.26953375991434,97.98177083333333,94.55729166666666,0.4973053309558505,78.125,81.25,75.0,0.7928495641664652
1248,96.07422125991434,97.59114583333333,94.55729166666666,0.4894706371246692,78.125,81.25,75.0,0.795023525207023
1280,96.07422125991434,97.59114583333333,94.55729166666666,0.48176503905133095,78.125,81.25,75.0,0.7902311028206138
