Step,Train_Accuracy_0,Train_Accuracy,Train_Cost,Val_Accuracy_0,Val_Accuracy_1,Val_Accuracy,Val_Cost
0,50.000000558793545,50.000000558793545,1.0365936592801854,0.0,100.0,50.0,1.0537344154431179
32,50.000000558793545,50.000000558793545,0.9457275844220989,0.0,100.0,50.0,0.9521947011631451
64,51.86111168935895,51.86111168935895,0.9173581467213625,0.0,100.0,50.0,0.9362032431566807
96,61.333334017544985,61.333334017544985,0.8897864747897847,10.0,100.0,55.0,0.913889226283584
128,73.25000081211329,73.25000081211329,0.8622117969742218,20.0,100.0,60.0,0.8933784246978416
160,86.38888984918594,86.38888984918594,0.8349512024155757,60.0,100.0,80.0,0.8698549966157842
192,93.9166677184403,93.9166677184403,0.8079039280915399,60.0,100.0,80.0,0.8469194746369685
224,95.25000106543303,95.25000106543303,0.7816135581196334,70.0,90.0,80.0,0.8275820896617134
256,95.25000106543303,95.25000106543303,0.7567312342808346,70.0,90.0,80.0,0.8071864255777736
288,95.52777884528041,95.52777884528041,0.7328786795241861,80.0,90.0,85.0,0.7887767919786075
320,95.52777884528041,95.52777884528041,0.7098933654731957,80.0,90.0,85.0,0.7689075815972282
352,96.63888996466994,96.63888996466994,0.6879672937503374,80.0,90.0,85.0,0.7519116439578172
384,97.38888997584581,97.38888997584581,0.6670572165352502,80.0,100.0,90.0,0.7267877282394818
416,98.94444555044174,98.94444555044174,0.6470529204055336,80.0,100.0,90.0,0.7078854531701322
448,99.7222233377397,99.7222233377397,0.6278908228197598,90.0,100.0,95.0,0.6905346270594237
480,100.00000111758709,100.00000111758709,0.6096233055829081,90.0,100.0,95.0,0.6781916343268548
512,100.00000111758709,100.00000111758709,0.5920660224461954,90.0,100.0,95.0,0.6640477000409764
544,100.00000111758709,100.00000111758709,0.5753083104294501,90.0,100.0,95.0,0.6503199255223708
576,100.00000111758709,100.00000111758709,0.5589253495562463,90.0,100.0,95.0,0.6366496359304343
608,100.00000111758709,100.00000111758709,0.5432534700153103,90.0,100.0,95.0,0.6244075318577076
640,100.00000111758709,100.00000111758709,0.5282158401170938,90.0,100.0,95.0,0.6128997276029249
672,100.00000111758709,100.00000111758709,0.5138654622392068,90.0,90.0,90.0,0.6017583106087383
704,100.00000111758709,100.00000111758709,0.5000623705611037,90.0,90.0,90.0,0.590825447223445
736,100.00000111758709,100.00000111758709,0.486843742705688,100.0,90.0,95.0,0.5782254056093943
768,100.00000111758709,100.00000111758709,0.4741169244519874,100.0,90.0,95.0,0.5684024076401122
800,100.00000111758709,100.00000111758709,0.461953176935683,100.0,90.0,95.0,0.5581231700201241
832,100.00000111758709,100.00000111758709,0.45028973981363174,100.0,90.0,95.0,0.5484136721696522
864,100.00000111758709,100.00000111758709,0.4389629335160132,100.0,90.0,95.0,0.5375965943507593
896,100.00000111758709,100.00000111758709,0.42805742904337307,100.0,90.0,95.0,0.5297755064326587
928,100.00000111758709,100.00000111758709,0.4176026136917771,100.0,90.0,95.0,0.5216564912294648
960,100.00000111758709,100.00000111758709,0.40745231384783975,100.0,90.0,95.0,0.5134361414385196
992,100.00000111758709,100.00000111758709,0.39777359406335816,100.0,90.0,95.0,0.5049372061110984
1024,100.00000111758709,100.00000111758709,0.3883632119696252,100.0,90.0,95.0,0.49705794865967207
1056,100.00000111758709,100.00000111758709,0.3792962122463345,100.0,90.0,95.0,0.49127351752597176
1088,100.00000111758709,100.00000111758709,0.3705926858408387,100.0,90.0,95.0,0.4853581804147052
1120,100.00000111758709,100.00000111758709,0.3621875525135449,100.0,90.0,95.0,0.47837351165870634
1152,100.00000111758709,100.00000111758709,0.35407859271871234,100.0,90.0,95.0,0.4729071859863523
1184,100.00000111758709,100.00000111758709,0.34628212129077124,100.0,90.0,95.0,0.46658357933810124
1216,100.00000111758709,100.00000111758709,0.338692420943195,100.0,90.0,95.0,0.46210833328654816
1248,100.00000111758709,100.00000111758709,0.33137648136817405,100.0,90.0,95.0,0.45604253442672815
1280,100.00000111758709,100.00000111758709,0.3243162694793336,100.0,90.0,95.0,0.451558695904189
1312,100.00000111758709,100.00000111758709,0.3175235311984152,100.0,90.0,95.0,0.4468846051338997
1344,100.00000111758709,100.00000111758709,0.3109138439736886,100.0,90.0,95.0,0.44157299072729145
1376,100.00000111758709,100.00000111758709,0.30448979218288896,100.0,90.0,95.0,0.43651650142560183
1408,100.00000111758709,100.00000111758709,0.29834353537433417,100.0,90.0,95.0,0.4308327025918728
1440,100.00000111758709,100.00000111758709,0.29240556195744166,100.0,90.0,95.0,0.4240315179340539
1472,100.00000111758709,100.00000111758709,0.2865611275197513,100.0,90.0,95.0,0.42055716722475933
1504,100.00000111758709,100.00000111758709,0.28095418242576214,100.0,90.0,95.0,0.4161738706359408
1536,100.00000111758709,100.00000111758709,0.27556103494468276,100.0,90.0,95.0,0.41209823585306454
1568,100.00000111758709,100.00000111758709,0.2702996786024541,100.0,90.0,95.0,0.4062375990454442
1600,100.00000111758709,100.00000111758709,0.26517320919942977,100.0,90.0,95.0,0.4039691460886542
1632,100.00000111758709,100.00000111758709,0.26018200741182473,100.0,90.0,95.0,0.39965023115332954
1664,100.00000111758709,100.00000111758709,0.25537670351432384,100.0,90.0,95.0,0.3961838014398469
1696,100.00000111758709,100.00000111758709,0.2506901729754959,100.0,90.0,95.0,0.39397577668149797
1728,100.00000111758709,100.00000111758709,0.2461211357965342,100.0,90.0,95.0,0.39166194301536345
1760,100.00000111758709,100.00000111758709,0.24166588764626235,100.0,90.0,95.0,0.3906025837666053
1792,100.00000111758709,100.00000111758709,0.23734113966146766,100.0,90.0,95.0,0.38960439424628707
1824,100.00000111758709,100.00000111758709,0.23310908908556455,100.0,90.0,95.0,0.3887054394037489
1856,100.00000111758709,100.00000111758709,0.22903719926413868,100.0,90.0,95.0,0.3858506140150961
1888,100.00000111758709,100.00000111758709,0.225015971355118,100.0,90.0,95.0,0.3828368833285537
1920,100.00000111758709,100.00000111758709,0.22109123290831584,100.0,90.0,95.0,0.3816345447835901
1952,100.00000111758709,100.00000111758709,0.21729761440695392,100.0,90.0,95.0,0.37898340541203435
1984,100.00000111758709,100.00000111758709,0.21360048249148605,100.0,90.0,95.0,0.3781405114029207
2016,100.00000111758709,100.00000111758709,0.2099973444114997,100.0,90.0,95.0,0.3753104668718499
